"PostCode","shortPostcode","Year","Town","District","County","Population2019","Population2020","Population2021","Population2022"
"WF11 9HQ","WF11","2019","KNOTTINGLEY","SELBY","NORTH YORKSHIRE",17940.5799129161,18041.2723847442,18142.5299984981,18244.3559260675
"YO18 8PJ","YO18","2019","PICKERING","RYEDALE","NORTH YORKSHIRE",11366.0291958889,11429.8216474239,11493.9721375318,11558.4826757234
"YO7 4BZ","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"TS9 7ER","TS9","2019","MIDDLESBROUGH","HAMBLETON","NORTH YORKSHIRE",13454.3786122711,13529.8920374757,13605.8292858497,13682.1927361235
"YO51 9AA","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"LA2 7EQ","LA2","2019","LANCASTER","CRAVEN","NORTH YORKSHIRE",23560.215165902,23692.4481435077,23825.423285828,23959.1447583025
"YO30 1AJ","YO30","2019","YORK","HAMBLETON","NORTH YORKSHIRE",28109.7958115055,28267.5635557246,28426.2167799125,28585.7604538731
"YO8 9TD","YO8","2019","SELBY","SELBY","NORTH YORKSHIRE",46191.9229281622,46451.1775855204,46711.8873236178,46974.0603091736
"LA2 8BE","LA2","2019","LANCASTER","CRAVEN","NORTH YORKSHIRE",23560.215165902,23692.4481435077,23825.423285828,23959.1447583025
"YO60 6NU","YO60","2019","YORK","RYEDALE","NORTH YORKSHIRE",5008.02457413654,5036.13238201084,5064.39794647196,5092.82215293723
"DN6 9BD","DN6","2019","DONCASTER","SELBY","NORTH YORKSHIRE",32902.3306127832,33086.9967169107,33272.6992695019,33459.4440876796
"LA6 3LE","LA6","2019","CARNFORTH","CRAVEN","NORTH YORKSHIRE",13210.3681341809,13284.5120374241,13359.0720773209,13434.0505894607
"YO60 7PZ","YO60","2019","YORK","RYEDALE","NORTH YORKSHIRE",5008.02457413654,5036.13238201084,5064.39794647196,5092.82215293723
"YO21 1RY","YO21","2019","WHITBY","SCARBOROUGH","NORTH YORKSHIRE",14927.9483825559,15011.7322975274,15095.9864542379,15180.7134919445
"BD24 0BY","BD24","2019","SETTLE","CRAVEN","NORTH YORKSHIRE",5419.99031636672,5450.41030417583,5481.00102580629,5511.76343951085
"YO22 5EH","YO22","2019","WHITBY","SCARBOROUGH","NORTH YORKSHIRE",9219.58204662808,9271.32744783603,9323.36327289754,9375.69115183213
"HG3 2GL","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
"BD22 0HG","BD22","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",31530.1677944319,31707.1325607765,31885.0905514114,32064.0473408613
"YO19 6SJ","YO19","2019","YORK","SELBY","NORTH YORKSHIRE",13641.3476798986,13717.9104790736,13794.902991086,13872.3276277223
"YO7 1JN","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"YO7 4LG","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"YO7 1ST","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"HG3 2RA","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
"YO8 9LU","YO8","2019","SELBY","SELBY","NORTH YORKSHIRE",46191.9229281622,46451.1775855204,46711.8873236178,46974.0603091736
"LS17 9LW","LS17","2019","LEEDS","HARROGATE","NORTH YORKSHIRE",45871.8572361218,46129.3155075306,46388.2187773658,46648.5751557587
"WF11 9JQ","WF11","2019","KNOTTINGLEY","SELBY","NORTH YORKSHIRE",17940.5799129161,18041.2723847442,18142.5299984981,18244.3559260675
"YO19 6DA","YO19","2019","YORK","SELBY","NORTH YORKSHIRE",13641.3476798986,13717.9104790736,13794.902991086,13872.3276277223
"BD23 5NQ","BD23","2019","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"HG4 3FB","HG4","2019","RIPON","HARROGATE","NORTH YORKSHIRE",27308.0470977806,27461.3149841266,27615.4430947465,27770.4362576953
"BD24 0FD","BD24","2019","SETTLE","CRAVEN","NORTH YORKSHIRE",5419.99031636672,5450.41030417583,5481.00102580629,5511.76343951085
"LS21 2HS","LS21","2019","OTLEY","HARROGATE","NORTH YORKSHIRE",18727.5401128173,18832.6494411876,18938.3487013291,19044.6412042658
"DL8 2ND","DL8","2019","BEDALE","NORTH YORKSHIRE","NORTH YORKSHIRE",19700.4130579301,19810.9826881464,19922.1728963725,20033.9871656358
"DL8 2ND","DL8","2019","BEDALE","HAMBLETON","NORTH YORKSHIRE",19700.4130579301,19810.9826881464,19922.1728963725,20033.9871656358
"YO17 9EU","YO17","2019","MALTON","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"TS15 0JA","TS15","2019","YARM","HAMBLETON","NORTH YORKSHIRE",13523.0395693094,13598.9383578365,13675.2631324054,13752.0162838858
"YO17 6AE","YO17","2019","MALTON","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"HG3 3TB","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
"HG3 2FB","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
